reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,159500,2-Sep-08,0,20,,
1,159500,2-Sep-08,0,25,,
1,159500,2-Sep-08,0,30,,
1,159500,2-Sep-08,0,35,,
1,159500,2-Sep-08,0,40,,
1,159500,2-Sep-08,0,45,,
1,159500,2-Sep-08,0,50,,
1,159500,2-Sep-08,0,55,,
,,,,,,
1,159450,1-Sep-08,0,0,,
1,159450,1-Sep-08,0,5,,
1,159450,1-Sep-08,0,10,,
1,159450,1-Sep-08,0,15,,
1,159450,1-Sep-08,0,20,,
1,159450,1-Sep-08,0,25,,
1,159450,1-Sep-08,0,30,,
1,159450,1-Sep-08,0,35,,
1,159450,1-Sep-08,0,40,,
1,159450,1-Sep-08,0,45,,
1,159450,1-Sep-08,0,50,,
1,159450,1-Sep-08,0,55,,
1,159450,1-Sep-08,1,0,,
1,159450,1-Sep-08,1,5,,
1,159450,1-Sep-08,1,10,,
1,159450,1-Sep-08,1,15,,
1,159450,1-Sep-08,1,20,,
1,159450,1-Sep-08,1,25,,
1,159450,1-Sep-08,1,30,,
1,159450,1-Sep-08,1,35,,
1,159450,1-Sep-08,1,40,,
1,159450,1-Sep-08,1,45,,
1,159450,1-Sep-08,1,50,,
1,159450,1-Sep-08,1,55,,
1,159450,1-Sep-08,2,0,,
1,159450,1-Sep-08,2,5,,
1,159450,1-Sep-08,2,10,,
1,159450,1-Sep-08,2,15,,
1,159450,1-Sep-08,2,20,,
1,159450,1-Sep-08,2,25,,
1,159450,1-Sep-08,2,30,,
1,159450,1-Sep-08,2,35,,
1,159450,1-Sep-08,2,40,,
1,159450,1-Sep-08,2,45,,
1,159450,1-Sep-08,2,50,,
1,159450,1-Sep-08,2,55,,
1,159450,1-Sep-08,3,0,,
1,159450,1-Sep-08,3,5,,
1,159450,1-Sep-08,3,10,,
1,159450,1-Sep-08,3,15,,
1,159450,1-Sep-08,3,20,,
1,159450,1-Sep-08,3,25,,
1,159450,1-Sep-08,3,30,,
1,159450,1-Sep-08,3,35,,
1,159450,1-Sep-08,3,40,,
1,159450,1-Sep-08,3,45,,
1,159450,1-Sep-08,3,50,,
1,159450,1-Sep-08,3,55,,
1,159450,1-Sep-08,4,0,,
1,159450,1-Sep-08,4,5,,
1,159450,1-Sep-08,4,10,,
1,159450,1-Sep-08,4,15,,
1,159450,1-Sep-08,4,20,,
1,159450,1-Sep-08,4,25,,
1,159450,1-Sep-08,4,30,,
1,159450,1-Sep-08,4,35,,
1,159450,1-Sep-08,4,40,,
1,159450,1-Sep-08,4,45,,
1,159450,1-Sep-08,4,50,,
1,159450,1-Sep-08,4,55,,
1,159450,1-Sep-08,5,0,,
1,159450,1-Sep-08,5,5,,
1,159450,1-Sep-08,5,10,,
1,159450,1-Sep-08,5,15,,
1,159450,1-Sep-08,5,20,,
1,159450,1-Sep-08,5,25,,
1,159450,1-Sep-08,5,30,,
1,159450,1-Sep-08,5,35,,
1,159450,1-Sep-08,5,40,,
1,159450,1-Sep-08,5,45,,
1,159450,1-Sep-08,5,50,,
1,159450,1-Sep-08,5,55,,
1,159450,1-Sep-08,6,0,,
1,159450,1-Sep-08,6,5,,
1,159450,1-Sep-08,6,10,,
1,159450,1-Sep-08,6,15,,
1,159450,1-Sep-08,6,20,,
1,159450,1-Sep-08,6,25,,
1,159450,1-Sep-08,6,30,,
1,159450,1-Sep-08,6,35,,
1,159450,1-Sep-08,6,40,,
1,159450,1-Sep-08,6,45,,
1,159450,1-Sep-08,6,50,,
1,159450,1-Sep-08,6,55,,
1,159450,1-Sep-08,7,0,,
1,159450,1-Sep-08,7,5,,
1,159450,1-Sep-08,7,10,,
1,159450,1-Sep-08,7,15,,
1,159450,1-Sep-08,7,20,,
1,159450,1-Sep-08,7,25,,
1,159450,1-Sep-08,7,30,,
1,159450,1-Sep-08,7,35,,
1,159450,1-Sep-08,7,40,,
1,159450,1-Sep-08,7,45,,
1,159450,1-Sep-08,7,50,,
1,159450,1-Sep-08,7,55,,
1,159450,1-Sep-08,8,0,,
1,159450,1-Sep-08,8,5,,
1,159450,1-Sep-08,8,10,,
1,159450,1-Sep-08,8,15,,
1,159450,1-Sep-08,8,20,,
1,159450,1-Sep-08,8,25,,
1,159450,1-Sep-08,8,30,,
1,159450,1-Sep-08,8,35,,
1,159450,1-Sep-08,8,40,,
1,159450,1-Sep-08,8,45,,
1,159450,1-Sep-08,8,50,,
1,159450,1-Sep-08,8,55,,
1,159450,1-Sep-08,9,0,,
1,159450,1-Sep-08,9,5,,
1,159450,1-Sep-08,9,10,,
1,159450,1-Sep-08,9,15,,
1,159450,1-Sep-08,9,20,,
1,159450,1-Sep-08,9,25,,
1,159450,1-Sep-08,9,30,,
1,159450,1-Sep-08,9,35,,
1,159450,1-Sep-08,9,40,,
1,159450,1-Sep-08,9,45,,
1,159450,1-Sep-08,9,50,,
1,159450,1-Sep-08,9,55,,
1,159450,1-Sep-08,10,0,,
1,159450,1-Sep-08,10,5,,
1,159450,1-Sep-08,10,10,,
1,159450,1-Sep-08,10,15,,
1,159450,1-Sep-08,10,20,,
1,159450,1-Sep-08,10,25,,
1,159450,1-Sep-08,10,30,,
1,159450,1-Sep-08,10,35,,
1,159450,1-Sep-08,10,40,,
1,159450,1-Sep-08,10,45,,
1,159450,1-Sep-08,10,50,,
1,159450,1-Sep-08,10,55,,
1,159450,1-Sep-08,11,0,,
1,159450,1-Sep-08,11,5,,
1,159450,1-Sep-08,11,10,,
1,159450,1-Sep-08,11,15,,
1,159450,1-Sep-08,11,20,,
1,159450,1-Sep-08,11,25,,
1,159450,1-Sep-08,11,30,,
1,159450,1-Sep-08,11,35,,
1,159450,1-Sep-08,11,40,,
1,159450,1-Sep-08,11,45,,
1,159450,1-Sep-08,11,50,,
1,159450,1-Sep-08,11,55,,
1,159450,1-Sep-08,12,0,,
1,159450,1-Sep-08,12,5,,
1,159450,1-Sep-08,12,10,,
1,159450,1-Sep-08,12,15,,
1,159450,1-Sep-08,12,20,,
1,159450,1-Sep-08,12,25,,
1,159450,1-Sep-08,12,30,,
1,159450,1-Sep-08,12,35,,
1,159450,1-Sep-08,12,40,,
1,159450,1-Sep-08,12,45,,
1,159450,1-Sep-08,12,50,,
1,159450,1-Sep-08,12,55,,
1,159450,1-Sep-08,13,0,,
1,159450,1-Sep-08,13,5,,
1,159450,1-Sep-08,13,10,,
1,159450,1-Sep-08,13,15,,
1,159450,1-Sep-08,13,20,,
1,159450,1-Sep-08,13,25,,
1,159450,1-Sep-08,13,30,,
1,159450,1-Sep-08,13,35,,
