"","river","STA","ti_tot_min","removal_g"
"1","1-1",127500,285,18.525
"2","1-1",127550,225,29.25
"3","1-1",127600,15,1.95
"4","1-1",127650,30,3.9
"5","1-1",127700,15,1.95
"6","1-1",127750,15,1.95
"7","1-1",127800,15,1.95
"8","1-1",127850,15,1.95
"9","1-1",127900,15,1.95
"10","1-1",127950,15,1.95
"11","1-1",128000,15,1.95
"12","1-1",128050,15,1.95
"13","1-1",128100,15,1.95
"14","1-1",128150,15,1.95
"15","1-1",128200,15,1.95
"16","1-1",128250,15,1.95
"17","1-1",128300,15,1.95
"18","1-1",128350,15,1.95
"19","1-1",128400,15,1.95
"20","1-1",128450,15,1.95
"21","1-1",128500,15,1.95
"22","1-1",128550,15,1.95
"23","1-1",128600,15,1.95
"24","1-1",128650,15,1.95
"25","1-1",128700,15,1.95
"26","1-1",128750,30,3.9
"27","1-1",128800,15,1.95
"28","1-1",128850,15,1.95
"29","1-1",128900,15,1.95
"30","1-1",128950,15,1.95
"31","1-1",129000,15,1.95
"32","1-1",129050,30,3.9
"33","1-1",129100,15,1.95
"34","1-1",129150,15,1.95
"35","1-1",129200,15,1.95
"36","1-1",129250,15,1.95
"37","1-1",129300,30,3.9
"38","1-1",129350,15,1.95
"39","1-1",129400,15,1.95
"40","1-1",129450,15,1.95
"41","1-1",129500,15,1.95
"42","1-1",129550,15,1.95
"43","1-1",129600,15,1.95
"44","1-1",129650,15,1.95
"45","1-1",129700,15,1.95
"46","1-1",129750,15,1.95
"47","1-1",129800,15,1.95
"48","1-1",129850,15,1.95
"49","1-1",129900,15,1.95
"50","1-1",129950,15,1.95
"51","1-1",130000,15,1.95
"52","1-1",130050,15,1.95
"53","1-1",130100,15,1.95
"54","1-1",130150,15,1.95
"55","1-1",130200,15,1.95
"56","1-1",130250,15,1.95
"57","1-1",130300,15,1.95
"58","1-1",130350,15,1.95
"59","1-1",130400,15,1.95
"60","1-1",130450,15,1.95
"61","1-1",130500,15,1.95
"62","1-1",130550,15,1.95
"63","1-1",130600,15,1.95
"64","1-1",130650,15,1.95
"65","1-1",130700,0,0
"66","1-1",130750,0,0
"67","1-1",130800,0,0
"68","1-1",130850,0,0
"69","1-1",130900,0,0
"70","1-1",130950,0,0
"71","1-1",131000,0,0
"72","1-1",131050,0,0
"73","1-1",131100,0,0
"74","1-1",131150,0,0
"75","1-1",131200,0,0
"76","1-1",131250,0,0
"77","1-1",131300,0,0
"78","1-1",131350,0,0
"79","1-1",131400,0,0
"80","1-1",131450,0,0
"81","1-1",131500,0,0
"82","1-1",131550,0,0
"83","1-1",131600,0,0
"84","1-1",131650,0,0
"85","1-1",131700,0,0
"86","1-1",131750,0,0
"87","1-1",131800,0,0
"88","1-1",131850,0,0
"89","1-1",131900,0,0
"90","1-1",131950,0,0
"91","1-1",132000,0,0
"92","1-1",132050,0,0
"93","1-1",132100,0,0
"94","1-1",132150,0,0
"95","1-1",132200,0,0
"96","1-1",132250,0,0
"97","1-1",132300,0,0
"98","1-1",132350,0,0
"99","1-1",132400,0,0
"100","1-1",132450,0,0
"101","1-1",132500,0,0
"102","1-1",132550,0,0
"103","1-1",132600,0,0
"104","1-1",132650,0,0
"105","1-1",132700,0,0
"106","1-1",132750,0,0
"107","1-1",132800,0,0
"108","1-1",132850,0,0
"109","1-1",132900,0,0
"110","1-1",132950,0,0
"111","1-1",133000,0,0
"112","1-1",133050,0,0
"113","1-1",133100,0,0
"114","1-1",133150,0,0
"115","1-1",133200,0,0
"116","1-1",133250,0,0
"117","1-1",133300,0,0
"118","1-1",133350,0,0
"119","1-1",133400,0,0
"120","1-1",133450,0,0
"121","1-1",133500,0,0
"122","1-10",154000,195,12.675
"123","1-10",154050,150,19.5
"124","1-10",154100,30,3.9
"125","1-10",154150,15,1.95
"126","1-10",154200,15,1.95
"127","1-10",154250,15,1.95
"128","1-10",154300,15,1.95
"129","1-10",154350,15,1.95
"130","1-10",154400,15,1.95
"131","1-10",154450,15,1.95
"132","1-10",154500,15,0.975
"133","1-10",154550,15,1.95
"134","1-10",154600,15,1.95
"135","1-10",154650,15,1.95
"136","1-10",154700,15,1.95
"137","1-10",154750,15,1.95
"138","1-10",154800,15,1.95
"139","1-10",154850,15,1.95
"140","1-10",154900,15,1.95
"141","1-10",154950,15,1.95
"142","1-10",155000,15,1.95
"143","1-10",155050,15,1.95
"144","1-10",155100,15,1.95
"145","1-10",155150,15,1.95
"146","1-10",155200,15,1.95
"147","1-10",155250,30,3.9
"148","1-10",155300,15,1.95
"149","1-10",155350,15,1.95
"150","1-10",155400,15,1.95
"151","1-10",155450,15,1.95
"152","1-10",155500,30,3.9
"153","1-10",155550,15,1.95
"154","1-10",155600,15,1.95
"155","1-10",155650,15,1.95
"156","1-10",155700,15,1.95
"157","1-10",155750,15,1.95
"158","1-10",155800,30,3.9
"159","1-10",155850,15,1.95
"160","1-10",155900,15,1.95
"161","1-10",155950,15,1.95
"162","1-10",156000,15,1.95
"163","1-10",156050,15,1.95
"164","1-10",156100,15,1.95
"165","1-10",156150,15,1.95
"166","1-10",156200,15,1.95
"167","1-10",156250,15,1.95
"168","1-10",156300,15,1.95
"169","1-10",156350,15,1.95
"170","1-10",156400,15,1.95
"171","1-10",156450,15,1.95
"172","1-10",156500,15,1.95
"173","1-10",156550,15,1.95
"174","1-10",156600,15,1.95
"175","1-10",156650,15,1.95
"176","1-10",156700,15,1.95
"177","1-10",156750,15,1.95
"178","1-10",156800,15,1.95
"179","1-10",156850,15,1.95
"180","1-10",156900,15,1.95
"181","1-10",156950,15,1.95
"182","1-10",157000,15,1.95
"183","1-10",157050,15,1.95
"184","1-10",157100,15,1.95
"185","1-10",157150,15,1.95
"186","1-10",157200,0,0
"187","1-10",157250,0,0
"188","1-10",157300,0,0
"189","1-10",157350,0,0
"190","1-10",157400,0,0
"191","1-10",157450,0,0
"192","1-10",157500,0,0
"193","1-10",157550,0,0
"194","1-10",157600,0,0
"195","1-10",157650,0,0
"196","1-10",157700,0,0
"197","1-10",157750,0,0
"198","1-10",157800,0,0
"199","1-10",157850,0,0
"200","1-10",157900,0,0
"201","1-10",157950,0,0
"202","1-10",158000,0,0
"203","1-10",158050,0,0
"204","1-10",158100,0,0
"205","1-10",158150,0,0
"206","1-10",158200,0,0
"207","1-10",158250,0,0
"208","1-10",158300,0,0
"209","1-10",158350,0,0
"210","1-10",158400,0,0
"211","1-10",158450,0,0
"212","1-10",158500,0,0
"213","1-10",158550,0,0
"214","1-10",158600,0,0
"215","1-10",158650,0,0
"216","1-10",158700,0,0
"217","1-10",158750,0,0
"218","1-10",158800,0,0
"219","1-10",158850,0,0
"220","1-10",158900,0,0
"221","1-10",158950,0,0
"222","1-10",159000,0,0
"223","1-10",159050,0,0
"224","1-10",159100,0,0
"225","1-10",159150,0,0
"226","1-10",159200,0,0
"227","1-10",159250,0,0
"228","1-10",159300,0,0
"229","1-10",159350,0,0
"230","1-10",159400,0,0
"231","1-10",159450,0,0
"232","1-10",159500,0,0
"233","1-10",159550,0,0
"234","1-10",159600,0,0
"235","1-10",159650,0,0
"236","1-10",159700,0,0
"237","1-10",159750,0,0
"238","1-10",159800,0,0
"239","1-10",159850,0,0
"240","1-10",159900,0,0
"241","1-10",159950,0,0
"242","1-10",160000,0,0
"243","1-11",159500,120,7.8
"244","1-11",159550,90,11.7
"245","1-11",159600,15,1.95
"246","1-11",159650,30,3.9
"247","1-11",159700,15,1.95
"248","1-11",159750,15,1.95
"249","1-11",159800,15,1.95
"250","1-11",159850,15,1.95
"251","1-11",159900,15,1.95
"252","1-11",159950,15,1.95
"253","1-11",160000,15,0.975
"254","1-11",160050,15,1.95
"255","1-11",160100,15,1.95
"256","1-11",160150,15,1.95
"257","1-11",160200,15,1.95
"258","1-11",160250,15,1.95
"259","1-11",160300,15,1.95
"260","1-11",160350,15,1.95
"261","1-11",160400,15,1.95
"262","1-11",160450,15,1.95
"263","1-11",160500,15,1.95
"264","1-11",160550,15,1.95
"265","1-11",160600,15,1.95
"266","1-11",160650,15,1.95
"267","1-11",160700,15,1.95
"268","1-11",160750,15,1.95
"269","1-11",160800,15,1.95
"270","1-11",160850,15,1.95
"271","1-11",160900,15,1.95
"272","1-11",160950,15,1.95
"273","1-11",161000,15,1.95
"274","1-11",161050,30,3.9
"275","1-11",161100,15,1.95
"276","1-11",161150,15,1.95
"277","1-11",161200,15,1.95
"278","1-11",161250,15,1.95
"279","1-11",161300,30,3.9
"280","1-11",161350,15,1.95
"281","1-11",161400,15,1.95
"282","1-11",161450,15,1.95
"283","1-11",161500,15,1.95
"284","1-11",161550,15,1.95
"285","1-11",161600,15,1.95
"286","1-11",161650,15,1.95
"287","1-11",161700,15,1.95
"288","1-11",161750,15,1.95
"289","1-11",161800,15,1.95
"290","1-11",161850,15,1.95
"291","1-11",161900,15,1.95
"292","1-11",161950,15,1.95
"293","1-11",162000,15,1.95
"294","1-11",162050,15,1.95
"295","1-11",162100,15,1.95
"296","1-11",162150,15,1.95
"297","1-11",162200,15,1.95
"298","1-11",162250,15,1.95
"299","1-11",162300,15,1.95
"300","1-11",162350,15,1.95
"301","1-11",162400,15,1.95
"302","1-11",162450,15,1.95
"303","1-11",162500,15,1.95
"304","1-11",162550,15,1.95
"305","1-11",162600,15,1.95
"306","1-11",162650,15,1.95
"307","1-11",162700,0,0
"308","1-11",162750,0,0
"309","1-11",162800,0,0
"310","1-11",162850,0,0
"311","1-11",162900,0,0
"312","1-11",162950,0,0
"313","1-11",163000,0,0
"314","1-11",163050,0,0
"315","1-11",163100,0,0
"316","1-11",163150,0,0
"317","1-11",163200,0,0
"318","1-11",163250,0,0
"319","1-11",163300,0,0
"320","1-11",163350,0,0
"321","1-11",163400,0,0
"322","1-11",163450,0,0
"323","1-11",163500,0,0
"324","1-11",163550,0,0
"325","1-11",163600,0,0
"326","1-11",163650,0,0
"327","1-11",163700,0,0
"328","1-11",163750,0,0
"329","1-11",163800,0,0
"330","1-11",163850,0,0
"331","1-11",163900,0,0
"332","1-11",163950,0,0
"333","1-11",164000,0,0
"334","1-11",164050,0,0
"335","1-11",164100,0,0
"336","1-11",164150,0,0
"337","1-11",164200,0,0
"338","1-11",164250,0,0
"339","1-11",164300,0,0
"340","1-11",164350,0,0
"341","1-11",164400,0,0
"342","1-11",164450,0,0
"343","1-11",164500,0,0
"344","1-11",164550,0,0
"345","1-11",164600,0,0
"346","1-11",164650,0,0
"347","1-11",164700,0,0
"348","1-11",164750,0,0
"349","1-11",164800,0,0
"350","1-11",164850,0,0
"351","1-11",164900,0,0
"352","1-11",164950,0,0
"353","1-11",165000,0,0
"354","1-11",165050,0,0
"355","1-11",165100,0,0
"356","1-11",165150,0,0
"357","1-11",165200,0,0
"358","1-11",165250,0,0
"359","1-11",165300,0,0
"360","1-11",165350,0,0
"361","1-11",165400,0,0
"362","1-11",165450,0,0
"363","1-11",165500,0,0
"364","1-12",159500,120,7.8
"365","1-12",159550,90,11.7
"366","1-12",159600,15,1.95
"367","1-12",159650,30,3.9
"368","1-12",159700,15,1.95
"369","1-12",159750,15,1.95
"370","1-12",159800,15,1.95
"371","1-12",159850,15,1.95
"372","1-12",159900,15,1.95
"373","1-12",159950,15,1.95
"374","1-12",160000,15,0.975
"375","1-12",160050,15,1.95
"376","1-12",160100,15,1.95
"377","1-12",160150,15,1.95
"378","1-12",160200,15,1.95
"379","1-12",160250,15,1.95
"380","1-12",160300,15,1.95
"381","1-12",160350,15,1.95
"382","1-12",160400,15,1.95
"383","1-12",160450,15,1.95
"384","1-12",160500,15,1.95
"385","1-12",160550,15,1.95
"386","1-12",160600,15,1.95
"387","1-12",160650,15,1.95
"388","1-12",160700,15,1.95
